"Fluxo";"Ano";"Países";"Valor US$ FOB"
"Exportação ";" 2024";"China";"42369089552"
"Exportação ";" 2024";"Estados Unidos";"16010439505"
"Exportação ";" 2024";"Argentina";"5003476437"
"Exportação ";" 2024";"Países Baixos (Holanda)";"4454697821"
"Exportação ";" 2024";"Espanha";"4385320208"
"Exportação ";" 2024";"Singapura";"3535844305"
"Exportação ";" 2024";"México";"3345038545"
"Exportação ";" 2024";"Chile";"2794353333"
"Exportação ";" 2024";"Canadá";"2244117526"
"Exportação ";" 2024";"Alemanha";"2200283829"
"Exportação ";" 2024";"Emirados Árabes Unidos";"2154421710"
"Exportação ";" 2024";"Japão";"2151218483"
"Exportação ";" 2024";"Índia";"2132415189"
"Exportação ";" 2024";"Coreia do Sul";"2092019339"
"Exportação ";" 2024";"Itália";"1968835325"
"Exportação ";" 2024";"Malásia";"1838879747"
"Exportação ";" 2024";"Indonésia";"1754536133"
"Exportação ";" 2024";"Turquia";"1748486892"
"Exportação ";" 2024";"Vietnã";"1544467392"
"Exportação ";" 2024";"Paraguai";"1411098062"
"Exportação ";" 2024";"Bélgica";"1410353002"
"Exportação ";" 2024";"Tailândia";"1361468917"
"Exportação ";" 2024";"Colômbia";"1349515150"
"Exportação ";" 2024";"Egito";"1341211377"
"Exportação ";" 2024";"França";"1289874489"
"Exportação ";" 2024";"Reino Unido";"1247964796"
"Exportação ";" 2024";"Arábia Saudita";"1226938307"
"Exportação ";" 2024";"Portugal";"1222216619"
"Exportação ";" 2024";"Bangladesh";"1148846713"
"Exportação ";" 2024";"Argélia";"1125373482"
"Exportação ";" 2024";"Irã";"1105507957"
"Exportação ";" 2024";"Peru";"1096158371"
"Exportação ";" 2024";"Uruguai";"1069363804"
"Exportação ";" 2024";"Filipinas";"819382902"
"Exportação ";" 2024";"Taiwan (Formosa)";"695856688"
"Exportação ";" 2024";"Hong Kong";"637840628"
"Exportação ";" 2024";"África do Sul";"577365407"
"Exportação ";" 2024";"Omã";"569105222"
"Exportação ";" 2024";"Bolívia";"542378698"
"Exportação ";" 2024";"Iraque";"538901662"
"Exportação ";" 2024";"Polônia";"516106059"
"Exportação ";" 2024";"Barein";"511313380"
"Exportação ";" 2024";"Noruega";"498979799"
"Exportação ";" 2024";"Rússia";"491227801"
"Exportação ";" 2024";"Suíça";"488842451"
"Exportação ";" 2024";"Venezuela";"442374925"
"Exportação ";" 2024";"Israel";"437767088"
"Exportação ";" 2024";"Equador";"409602532"
"Exportação ";" 2024";"Nigéria";"404917816"
"Exportação ";" 2024";"Panamá";"398516345"
"Exportação ";" 2024";"Marrocos";"393323268"
"Exportação ";" 2024";"República Dominicana";"387245714"
"Exportação ";" 2024";"Líbia";"297088027"
"Exportação ";" 2024";"Costa Rica";"295243581"
"Exportação ";" 2024";"Suécia";"264007333"
"Exportação ";" 2024";"Austrália";"238689677"
"Exportação ";" 2024";"Paquistão";"222006266"
"Exportação ";" 2024";"Senegal";"208488051"
"Exportação ";" 2024";"Dinamarca";"207025916"
"Exportação ";" 2024";"Catar";"199761430"
"Exportação ";" 2024";"Angola";"195597426"
"Exportação ";" 2024";"Eslovênia";"193208930"
"Exportação ";" 2024";"Bulgária";"188855133"
"Exportação ";" 2024";"Tunísia";"180034695"
"Exportação ";" 2024";"Iêmen";"178078658"
"Exportação ";" 2024";"Guatemala";"175228441"
"Exportação ";" 2024";"Libéria";"172209355"
"Exportação ";" 2024";"Jordânia";"171775156"
"Exportação ";" 2024";"Trinidad e Tobago";"171476640"
"Exportação ";" 2024";"Brasil";"167308464"
"Exportação ";" 2024";"Líbano";"162440826"
"Exportação ";" 2024";"Geórgia";"152166334"
"Exportação ";" 2024";"Grécia";"149447592"
"Exportação ";" 2024";"Finlândia";"148103968"
"Exportação ";" 2024";"Cuba";"140322997"
"Exportação ";" 2024";"Guiana";"139123382"
"Exportação ";" 2024";"Marshall, Ilhas";"133345545"
"Exportação ";" 2024";"Togo";"132571045"
"Exportação ";" 2024";"Camarões";"117983572"
"Exportação ";" 2024";"Gana";"113417959"
"Exportação ";" 2024";"Cayman, Ilhas";"111413510"
"Exportação ";" 2024";"Coveite (Kuweit)";"111348754"
"Exportação ";" 2024";"Uzbequistão";"106722023"
"Exportação ";" 2024";"Jamaica";"105306153"
"Exportação ";" 2024";"Porto Rico";"97683700"
"Exportação ";" 2024";"Hungria";"96632750"
"Exportação ";" 2024";"Honduras";"95768708"
"Exportação ";" 2024";"Mauritânia";"93832803"
"Exportação ";" 2024";"Congo, República Democrática";"92964243"
"Exportação ";" 2024";"Romênia";"85058265"
"Exportação ";" 2024";"Gâmbia";"81823294"
"Exportação ";" 2024";"Irlanda";"80748691"
"Exportação ";" 2024";"Costa do Marfim";"79528165"
"Exportação ";" 2024";"Guiné";"75694168"
"Exportação ";" 2024";"Islândia";"68961261"
"Exportação ";" 2024";"El Salvador";"67947336"
"Exportação ";" 2024";"Somália";"60163501"
"Exportação ";" 2024";"Bahamas";"58909886"
"Exportação ";" 2024";"Malta";"58088216"
"Exportação ";" 2024";"Nicarágua";"49032668"
"Exportação ";" 2024";"Quênia";"46507317"
"Exportação ";" 2024";"Congo";"46351636"
"Exportação ";" 2024";"Nova Zelândia";"45532540"
"Exportação ";" 2024";"Albânia";"45149068"
"Exportação ";" 2024";"Áustria";"38608555"
"Exportação ";" 2024";"Virgens, Ilhas (Americanas)";"36696159"
"Exportação ";" 2024";"Letônia";"36196975"
"Exportação ";" 2024";"Estônia";"35393461"
"Exportação ";" 2024";"Benin";"33565556"
"Exportação ";" 2024";"Ilha de Man";"31289781"
"Exportação ";" 2024";"Chipre";"29877696"
"Exportação ";" 2024";"Tanzânia";"28377999"
"Exportação ";" 2024";"Tcheca, República";"28236088"
"Exportação ";" 2024";"Djibuti";"23876920"
"Exportação ";" 2024";"Gabão";"23813938"
"Exportação ";" 2024";"Croácia";"21781571"
"Exportação ";" 2024";"Ucrânia";"21276335"
"Exportação ";" 2024";"Suriname";"20993466"
"Exportação ";" 2024";"Haiti";"20882067"
"Exportação ";" 2024";"Sérvia";"20109151"
"Exportação ";" 2024";"Lituânia";"20081221"
